ui_id,expected_label,raw_id,dataset_message_id,replay_run_message_id,telegram_message_id,message_date_utc,message_date_msk,author,source_field,text_preview,processable,processingState,pipelineStatus,material_id,rejection_or_skip_reason,notes
"U01","GPT-5.6 Sol message","11142","10121","7397","5697961984","2026-06-26T23:28:47+00:00","2026-06-27T02:28:47","╨Р╨╗╨╡╨║╤Б╨░╨╜╨┤╤А","raw_messages.caption","╨Ш╤В╨░╨║, ╨▓╤Б╤В╤А╨╡╤З╨░╨╣╤В╨╡: GPT-5.6   https://openai.com/index/previewing-gpt-5-6-sol/  ╨Р╨╜╨╛╨╜╤Б╨╕╤А╨╛╨▓╨░╨╗╨╕ ╤В╤А╨╕ ╨╝╨╛╨┤╨╡╨╗╨╕, ╨▓ ╤З╨╡╤Б╤В╤М ╤Б╨╛╨╗╨╜╨╡╤З╨╜╨╛╨╣ ╤Б╨╕╤Б╤В╨╡╨╝╤Л (╤Б ╤Б╨░╨╝╨╛╨╛╤Ж╨╡╨╜╨║╨╛╨╣ ╤Г ╤Б╨╛╨╖╨┤╨░╤В╨╡╨╗╨╡╨╣ ╨▓╤Б╨╡ ╨╛╨║):   1. Sol тАУ ╤Б╨░╨╝╨░╤П ╨║╤А╤Г╨┐╨╜╨░╤П ╨╕ ╨║╤А╤Г╤В╨░╤П. ╨Э╨░ ╨╝╨╜╨╛╨│╨╕╤Е ╨▒╨╡╨╜╤З╨╝╨░╤А╨║╨░╤Е ╨╛╨▒╤Е╨╛╨┤╨╕╤В Mythos, ╨╕ ╨┐╤А╨╕ ╤Н╤В╨╛╨╝ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ ╨▓ ╨┤╨▓╨░ ╤А╨░╨╖╨░. ╨Я╤А╨╕ ╤Н╤В╨╛╨╝ ╨░╨▓╤В╨╛╤А╤Л ╨┐╨╕╤И╤Г╤В, ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╤М ╨╕╤Б╨┐╨╛╨╗╤М╨╖╤Г╨╡╤В ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨╝╨╡╨╜╤М╤И╨╡ ╤В╨╛╨║╨╡╨╜╨╛╨▓. ╨Т ╤Ж╨╡╨╗╨╛╨╝ ╤Н╨║╨╛╨╜╨╛╨╝╨╕╤П ╨▓ 5-6 ╤А╨░╨╖ (╨╜╤Г ╤В╨╕╨┐╨░).   2. Terra тАУ ╨┐╤А╨╛╨╝╨╡╨╢╤Г╤В╨╛╤З╨╜╤Л╨╣ ╨▓╨░╤А╨╕╨░╨╜╤В. ╨г╨╢╨╡ ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ Mythos, ╤Г╨▓╨╡╤А╨╡╨╜╨╜╨╛ ╨╛╨▒╤Е╨╛╨┤╨╕╤В Opus 4.8.   3. Luna тАУ ╤Б╨░╨╝╤Л╨╣ ╨┤╨╡╤И╨╡╨▓╨░╤П ╨╕ ╨▒╤Л╤Б╤В╤А╨░╤П, ╨╜╨╛ ╨┐╨╛ ╤А╨╡╨╖╤Г╨╗╤М╤В╨░╤В╨░╨╝ ╨▓╤Б╨╡ ╨╡╤Й╨╡ ╤Е╨╛╤А╨╛╤И╨░.   ╨С╨╡╨╜╤З╨╝╨░╤А╨║╨╛╨▓ ╨┐╨╛╨║╨░╨╖╨░╨╗╨╕ ╨╝╨░╨╗╨╛╨▓╨░╤В╨╛, ╤В╨░╨║ ╤З╤В╨╛ ╨╜╨░ ╨┤╤А╤Г╨│╨╕╨╡ ╨╖╨░╨╝╨╡╤А╤Л ╨╡╤Й╨╡ ╨┐╨╛╤Б╨╝╨╛╤В╤А╨╕╨╝. ╨Ю╨▒╤Й╨╕╨╣ ╨┤╨╛╤Б╤В╤Г╨┐ ╨╛╨▒╨╡╤Й╨░╤О╤В ╨▓ ╨▒╨╗╨╕╨╢╨░╨╣╤И╨╕╨╡ ╨╜╨╡╨┤╨╡╨╗╨╕, ╨┐╨╛╨║╨░ ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╨╕ ╨▓╤Л╤И╨╗╨╕ ╤В╨╛╨╗╤М╨║╨╛ ╨┤╨╗╤П ╨╛╨│╤А╨░╨╜╨╕╤З╨╡╨╜╨╜╨╛╨╣ ╨│╤А╤Г╨┐╨┐╤Л ╤В╨╡╤Б╤В╨╡╤А╨╛╨▓.   ╨е╨╛╤В╤М ╨▒╤Л ╨╜╨╡ ╨┐╨╛╨▓╤В╨╛╤А╨╕╨╗╨░╤Б╤М ╨╕╤Б╤В╨╛╤А╨╕╤П ╤Б Fable ЁЯЩП","true","ENABLED_PROCESSABLE","REJECTED_SINGLE_MESSAGE","","LOW_SINGLE_MESSAGE_SCORE","/groups/38/messages returned id=11142; id maps to raw_messages.id"
"U02","GPT-5.6 government approval message","11142","10121","7397","5697961984","2026-06-26T23:28:47+00:00","2026-06-27T02:28:47","╨Р╨╗╨╡╨║╤Б╨░╨╜╨┤╤А","raw_messages.caption","╨Ш╤В╨░╨║, ╨▓╤Б╤В╤А╨╡╤З╨░╨╣╤В╨╡: GPT-5.6   https://openai.com/index/previewing-gpt-5-6-sol/  ╨Р╨╜╨╛╨╜╤Б╨╕╤А╨╛╨▓╨░╨╗╨╕ ╤В╤А╨╕ ╨╝╨╛╨┤╨╡╨╗╨╕, ╨▓ ╤З╨╡╤Б╤В╤М ╤Б╨╛╨╗╨╜╨╡╤З╨╜╨╛╨╣ ╤Б╨╕╤Б╤В╨╡╨╝╤Л (╤Б ╤Б╨░╨╝╨╛╨╛╤Ж╨╡╨╜╨║╨╛╨╣ ╤Г ╤Б╨╛╨╖╨┤╨░╤В╨╡╨╗╨╡╨╣ ╨▓╤Б╨╡ ╨╛╨║):   1. Sol тАУ ╤Б╨░╨╝╨░╤П ╨║╤А╤Г╨┐╨╜╨░╤П ╨╕ ╨║╤А╤Г╤В╨░╤П. ╨Э╨░ ╨╝╨╜╨╛╨│╨╕╤Е ╨▒╨╡╨╜╤З╨╝╨░╤А╨║╨░╤Е ╨╛╨▒╤Е╨╛╨┤╨╕╤В Mythos, ╨╕ ╨┐╤А╨╕ ╤Н╤В╨╛╨╝ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ ╨▓ ╨┤╨▓╨░ ╤А╨░╨╖╨░. ╨Я╤А╨╕ ╤Н╤В╨╛╨╝ ╨░╨▓╤В╨╛╤А╤Л ╨┐╨╕╤И╤Г╤В, ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╤М ╨╕╤Б╨┐╨╛╨╗╤М╨╖╤Г╨╡╤В ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨╝╨╡╨╜╤М╤И╨╡ ╤В╨╛╨║╨╡╨╜╨╛╨▓. ╨Т ╤Ж╨╡╨╗╨╛╨╝ ╤Н╨║╨╛╨╜╨╛╨╝╨╕╤П ╨▓ 5-6 ╤А╨░╨╖ (╨╜╤Г ╤В╨╕╨┐╨░).   2. Terra тАУ ╨┐╤А╨╛╨╝╨╡╨╢╤Г╤В╨╛╤З╨╜╤Л╨╣ ╨▓╨░╤А╨╕╨░╨╜╤В. ╨г╨╢╨╡ ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ Mythos, ╤Г╨▓╨╡╤А╨╡╨╜╨╜╨╛ ╨╛╨▒╤Е╨╛╨┤╨╕╤В Opus 4.8.   3. Luna тАУ ╤Б╨░╨╝╤Л╨╣ ╨┤╨╡╤И╨╡╨▓╨░╤П ╨╕ ╨▒╤Л╤Б╤В╤А╨░╤П, ╨╜╨╛ ╨┐╨╛ ╤А╨╡╨╖╤Г╨╗╤М╤В╨░╤В╨░╨╝ ╨▓╤Б╨╡ ╨╡╤Й╨╡ ╤Е╨╛╤А╨╛╤И╨░.   ╨С╨╡╨╜╤З╨╝╨░╤А╨║╨╛╨▓ ╨┐╨╛╨║╨░╨╖╨░╨╗╨╕ ╨╝╨░╨╗╨╛╨▓╨░╤В╨╛, ╤В╨░╨║ ╤З╤В╨╛ ╨╜╨░ ╨┤╤А╤Г╨│╨╕╨╡ ╨╖╨░╨╝╨╡╤А╤Л ╨╡╤Й╨╡ ╨┐╨╛╤Б╨╝╨╛╤В╤А╨╕╨╝. ╨Ю╨▒╤Й╨╕╨╣ ╨┤╨╛╤Б╤В╤Г╨┐ ╨╛╨▒╨╡╤Й╨░╤О╤В ╨▓ ╨▒╨╗╨╕╨╢╨░╨╣╤И╨╕╨╡ ╨╜╨╡╨┤╨╡╨╗╨╕, ╨┐╨╛╨║╨░ ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╨╕ ╨▓╤Л╤И╨╗╨╕ ╤В╨╛╨╗╤М╨║╨╛ ╨┤╨╗╤П ╨╛╨│╤А╨░╨╜╨╕╤З╨╡╨╜╨╜╨╛╨╣ ╨│╤А╤Г╨┐╨┐╤Л ╤В╨╡╤Б╤В╨╡╤А╨╛╨▓.   ╨е╨╛╤В╤М ╨▒╤Л ╨╜╨╡ ╨┐╨╛╨▓╤В╨╛╤А╨╕╨╗╨░╤Б╤М ╨╕╤Б╤В╨╛╤А╨╕╤П ╤Б Fable ЁЯЩП","true","ENABLED_PROCESSABLE","REJECTED_SINGLE_MESSAGE","","LOW_SINGLE_MESSAGE_SCORE","/groups/38/messages returned id=11142; id maps to raw_messages.id"
"U03","Link-only lolz.live message","11193","10168","7444","5705302016","2026-06-27T00:14:07+00:00","2026-06-27T03:14:07","Store","raw_messages.text","https://lolz.live/threads/10020722/  ╨Я╨╛╤З╨╕╤В╨░╨╣╤В╨╡ ╨╜╨░ ╨┤╨╛╤Б╤Г╨│╨╡, ╨┐╨╛╨╗╨╡╨╖╨╜╨╛","true","ENABLED_PROCESSABLE","REJECTED_SINGLE_MESSAGE","","TOO_SHORT","/groups/38/messages returned id=11193; id maps to raw_messages.id"
"U04","Long GPT-5.6 announcement from Aleksandr","11142","10121","7397","5697961984","2026-06-26T23:28:47+00:00","2026-06-27T02:28:47","╨Р╨╗╨╡╨║╤Б╨░╨╜╨┤╤А","raw_messages.caption","╨Ш╤В╨░╨║, ╨▓╤Б╤В╤А╨╡╤З╨░╨╣╤В╨╡: GPT-5.6   https://openai.com/index/previewing-gpt-5-6-sol/  ╨Р╨╜╨╛╨╜╤Б╨╕╤А╨╛╨▓╨░╨╗╨╕ ╤В╤А╨╕ ╨╝╨╛╨┤╨╡╨╗╨╕, ╨▓ ╤З╨╡╤Б╤В╤М ╤Б╨╛╨╗╨╜╨╡╤З╨╜╨╛╨╣ ╤Б╨╕╤Б╤В╨╡╨╝╤Л (╤Б ╤Б╨░╨╝╨╛╨╛╤Ж╨╡╨╜╨║╨╛╨╣ ╤Г ╤Б╨╛╨╖╨┤╨░╤В╨╡╨╗╨╡╨╣ ╨▓╤Б╨╡ ╨╛╨║):   1. Sol тАУ ╤Б╨░╨╝╨░╤П ╨║╤А╤Г╨┐╨╜╨░╤П ╨╕ ╨║╤А╤Г╤В╨░╤П. ╨Э╨░ ╨╝╨╜╨╛╨│╨╕╤Е ╨▒╨╡╨╜╤З╨╝╨░╤А╨║╨░╤Е ╨╛╨▒╤Е╨╛╨┤╨╕╤В Mythos, ╨╕ ╨┐╤А╨╕ ╤Н╤В╨╛╨╝ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ ╨▓ ╨┤╨▓╨░ ╤А╨░╨╖╨░. ╨Я╤А╨╕ ╤Н╤В╨╛╨╝ ╨░╨▓╤В╨╛╤А╤Л ╨┐╨╕╤И╤Г╤В, ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╤М ╨╕╤Б╨┐╨╛╨╗╤М╨╖╤Г╨╡╤В ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨╝╨╡╨╜╤М╤И╨╡ ╤В╨╛╨║╨╡╨╜╨╛╨▓. ╨Т ╤Ж╨╡╨╗╨╛╨╝ ╤Н╨║╨╛╨╜╨╛╨╝╨╕╤П ╨▓ 5-6 ╤А╨░╨╖ (╨╜╤Г ╤В╨╕╨┐╨░).   2. Terra тАУ ╨┐╤А╨╛╨╝╨╡╨╢╤Г╤В╨╛╤З╨╜╤Л╨╣ ╨▓╨░╤А╨╕╨░╨╜╤В. ╨г╨╢╨╡ ╨▓ ╤В╤А╨╕ ╤А╨░╨╖╨░ ╨┤╨╡╤И╨╡╨▓╨╗╨╡ Mythos, ╤Г╨▓╨╡╤А╨╡╨╜╨╜╨╛ ╨╛╨▒╤Е╨╛╨┤╨╕╤В Opus 4.8.   3. Luna тАУ ╤Б╨░╨╝╤Л╨╣ ╨┤╨╡╤И╨╡╨▓╨░╤П ╨╕ ╨▒╤Л╤Б╤В╤А╨░╤П, ╨╜╨╛ ╨┐╨╛ ╤А╨╡╨╖╤Г╨╗╤М╤В╨░╤В╨░╨╝ ╨▓╤Б╨╡ ╨╡╤Й╨╡ ╤Е╨╛╤А╨╛╤И╨░.   ╨С╨╡╨╜╤З╨╝╨░╤А╨║╨╛╨▓ ╨┐╨╛╨║╨░╨╖╨░╨╗╨╕ ╨╝╨░╨╗╨╛╨▓╨░╤В╨╛, ╤В╨░╨║ ╤З╤В╨╛ ╨╜╨░ ╨┤╤А╤Г╨│╨╕╨╡ ╨╖╨░╨╝╨╡╤А╤Л ╨╡╤Й╨╡ ╨┐╨╛╤Б╨╝╨╛╤В╤А╨╕╨╝. ╨Ю╨▒╤Й╨╕╨╣ ╨┤╨╛╤Б╤В╤Г╨┐ ╨╛╨▒╨╡╤Й╨░╤О╤В ╨▓ ╨▒╨╗╨╕╨╢╨░╨╣╤И╨╕╨╡ ╨╜╨╡╨┤╨╡╨╗╨╕, ╨┐╨╛╨║╨░ ╤З╤В╨╛ ╨╝╨╛╨┤╨╡╨╗╨╕ ╨▓╤Л╤И╨╗╨╕ ╤В╨╛╨╗╤М╨║╨╛ ╨┤╨╗╤П ╨╛╨│╤А╨░╨╜╨╕╤З╨╡╨╜╨╜╨╛╨╣ ╨│╤А╤Г╨┐╨┐╤Л ╤В╨╡╤Б╤В╨╡╤А╨╛╨▓.   ╨е╨╛╤В╤М ╨▒╤Л ╨╜╨╡ ╨┐╨╛╨▓╤В╨╛╤А╨╕╨╗╨░╤Б╤М ╨╕╤Б╤В╨╛╤А╨╕╤П ╤Б Fable ЁЯЩП","true","ENABLED_PROCESSABLE","REJECTED_SINGLE_MESSAGE","","LOW_SINGLE_MESSAGE_SCORE","/groups/38/messages returned id=11142; id maps to raw_messages.id"
