cluster_id,algorithm,suggested_name,manual_name,cluster_quality,route_policy,notes
lab-cluster-247,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-249,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-271,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-273,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-282,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-305,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-311,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-314,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-322,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-323,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-338,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-341,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-346,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-350,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-353,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-354,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-357,bm25_token_overlap_baseline,review_signal_or_discussion_outage_status,,,,
lab-cluster-37,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-5,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-52,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-56,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-57,bm25_token_overlap_baseline,review_signal_or_discussion_digest_news,,,,
lab-cluster-88,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-90,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-94,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-95,bm25_token_overlap_baseline,review_signal_or_discussion_tech_signal,,,,
lab-cluster-26,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-115,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-122,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-134,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-213,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-269,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-27,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-310,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-65,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-141,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-32,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-35,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-99,bm25_token_overlap_baseline,retain_context_only_weak_signal,,,,
lab-cluster-10,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-104,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-106,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-109,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-11,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-113,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-12,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-128,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-136,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-137,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-14,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-142,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-143,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-145,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-147,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-148,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-15,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-151,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-154,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-165,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-166,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-167,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-175,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-180,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-181,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-187,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-211,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-215,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-24,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-241,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-245,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-246,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-248,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-250,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-251,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-252,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-253,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-254,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-255,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-256,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-257,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-263,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-264,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-272,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-276,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-278,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-279,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-28,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-283,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-291,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-297,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-306,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-307,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-315,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-329,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-339,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-34,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-345,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
