lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-03455,snapshot-2e5c3804a503,22051,22051,-1001843792932,-1001843792932,,1,1,,,2026-06-29T19:36:06+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @ZergEmpire! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг "
msg-03457,snapshot-2e5c3804a503,22047,22047,-1001494296252,-1001494296252,,1,1,,,2026-06-29T19:35:54+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,45,false,false,false,"Добро пожаловать в стаю, @ZergEmpire! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг "
msg-03507,snapshot-2e5c3804a503,21995,21995,-1002165514145,-1002165514145,,770612133888,770612133888,,,2026-06-29T19:30:57+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,66,true,false,false,"1515, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным текстом один раз отправит"
msg-03586,snapshot-2e5c3804a503,21912,21912,-1001750348316,-1001750348316,,533295267840,533295267840,,,2026-06-29T19:18:06+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,53,false,false,false,"@divanlitva Добро пожаловать! Этот чат станет для тебя теплой ламповой пещерой, где ты сможешь пообщаться на (почти) любые темы. Не стесняйся задавать вопросы, но возможно стоит сразу пойти в тематический чат. Если что, мы перенаправим тебя в нужную микростаю, где ты получишь нео"
msg-03618,snapshot-2e5c3804a503,21875,21875,-1001780920546,-1001780920546,,1,1,,,2026-06-29T19:14:12+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @lololozhkin! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг"
msg-03753,snapshot-2e5c3804a503,21734,21734,-1001204511390,-1001204511390,,1,1,,,2026-06-29T18:50:42+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,93,false,false,false,"Лукьян, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о вашей к"
msg-03774,snapshot-2e5c3804a503,21712,21712,-1001870785614,-1001870785614,,1,1,,,2026-06-29T18:44:37+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @Da_Rome! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг по "
msg-03798,snapshot-2e5c3804a503,21682,21682,-1001204511390,-1001204511390,,1,1,,,2026-06-29T18:32:15+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,92,false,false,false,"Q Q, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о вашей комп"
msg-03801,snapshot-2e5c3804a503,21681,21681,-1001204511390,-1001204511390,,1,1,,,2026-06-29T18:30:33+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,92,false,false,false,"Q Q, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о вашей комп"
msg-03820,snapshot-2e5c3804a503,21661,21661,-1001204511390,-1001204511390,,1,1,,,2026-06-29T18:22:18+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,92,false,false,false,"𝘚𝘦𝘳𝘫, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о вашей ком"
