lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-02517,snapshot-2e5c3804a503,23087,23087,866341216,866341216,,,,,,2026-06-29T22:40:46+00:00,OUTAGE_STATUS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;status_or_outage_terms;concrete_outage_or_error_status;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,outage_status_marker,,,"401,429",19,false,true,false,"Минимальная проверка совместимого API у нас такая: /models, потом короткий chat completion, потом проверка stream/non-stream, потом 401/429 сценарии."
msg-02518,snapshot-2e5c3804a503,23086,23086,866341216,866341216,,,,,,2026-06-29T22:40:44+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,17,false,true,false,"Похоже, многие путают “совместимый API работает” и “SDK не падает”. На практике сначала надо проверить протокол, а уже потом клиентскую библиотеку."
msg-02525,snapshot-2e5c3804a503,23079,23079,866341216,866341216,,,,,,2026-06-29T22:40:22+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,17,false,true,false,"Полезный чек: для совместимых API сначала проверяйте /models, потом один минимальный completion, и только после этого подключайте SDK и ретраи."
msg-02528,snapshot-2e5c3804a503,23076,23076,866341216,866341216,,,,,,2026-06-29T22:40:11+00:00,OUTAGE_STATUS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;concrete_outage_or_error_status;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,outage_status_marker,,,401,17,false,true,false,"Если GPT через совместимый API отвечает 401, почти всегда проблема в Authorization: Bearer ..., неверном base URL или отключенном ключе у провайдера."
msg-02529,snapshot-2e5c3804a503,23075,23075,866341216,866341216,,,,,,2026-06-29T22:40:01+00:00,OUTAGE_STATUS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,guide_intent;technical_or_code_terms;resource_or_tool_terms;status_or_outage_terms;concrete_outage_or_error_status;interview_or_product_design_task;moderate_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.950,workflow_howto_marker,,,"401,429",29,false,true,false,"Как проверить, что OpenAI-compatible API реально работает: сделать GET /models проверить, что модель видна в списке отправить короткий chat completion сверить формат ответа и usage отдельно проверить 429/401, чтобы понять, это лимит или битый ключ"
msg-03822,snapshot-2e5c3804a503,21657,21657,-1002922797592,-1002922797592,,127903,127903,"СХЕМЫ, АРБУЗЫ",,2026-06-29T18:22:17+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,6,false,true,false,"Здравствуйте, стиллера в API нет. проверьте сами"
msg-03833,snapshot-2e5c3804a503,21645,21645,-1001689325273,-1001689325273,,86152,86152,,,2026-06-29T18:21:33+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;question_or_qna_shape;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,ANSWER,0.950,workflow_howto_marker,,,"MVVM,OZON,SOLID",271,false,false,false,"Kotlin — это не просто язык, а целый мир возможностей в современном IT, особенно в Android-разработке и не только. Если ты хочешь прокачаться в Kotlin, готовься к собеседованиям на хайрейт позиции, потому что у нас куча реальных собесов, где Kotlin играет ключевую роль. 📽️ Вот не"
msg-03847,snapshot-2e5c3804a503,21631,21631,-1001689325273,-1001689325273,,86152,86152,,,2026-06-29T18:20:24+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;career_or_interview_signal;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,workflow_howto_marker,,,"FAANG,HTTP,JAVA",250,false,true,false,"Java — это всегда горячая тема, особенно когда речь идёт о работе и зарплате в IT! У нас в комьюнити много материалов, которые помогут тебе прокачаться и получить жирный оффер. Если ты готовишься к собеседованиям, обязательно посмотри записи реальных интервью. Это лучший способ п"
msg-03920,snapshot-2e5c3804a503,21552,21552,-1002165514145,-1002165514145,,770551316480,770551316480,,,2026-06-29T18:00:38+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,89,false,true,false,"🛠 Днём чат почти целиком крутился вокруг bratan-music: допиливали импорт музыки, drag-and-drop, плейлисты, PWA и правили баги, чтобы сервис стал заметно удобнее. ☁️ Параллельно много спорили о VPS, хостинге и прокси: сравнивали дешёвые сервера, жаловались на оверселлинг, лимиты и"
msg-04122,snapshot-2e5c3804a503,21316,21316,-1002165514145,-1002165514145,,770478964736,770478964736,,,2026-06-29T17:24:54+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,15,false,true,false,"мне кажется 14 одним промптом делается, прикручиваешь api и готово. Зана сложнее написать (кучу правил и тд)"
