lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-08392,snapshot-2e5c3804a503,16436,16436,-1001750348316,-1001750348316,,533271150592,533271150592,,,2026-06-28T19:54:47+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,31,false,false,false,"Всем привет, задавал ранее вопрос, мож подскажет кто, есть где ссылка ответы на вопросы, которые часто встречаются в hh вакансиях и/или от hr, могли бы пожалуйста поделиться. У бота спрашивал, ниче норм не выдал"
msg-08518,snapshot-2e5c3804a503,16393,16393,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-28T17:19:47+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,60,false,false,false,"базовый минимум попадать в фильтр ""3-6 лет"" но чтобы попадать на скрининги нужно также: 1) не отлетать от AI-фильтров из-за неправильных формулировок даже по хорошим достижениям 2) не словить массовый отказ всем кого не посмотрела HR ниже 10-20 позиции в списке откликов (быть выш"
msg-08530,snapshot-2e5c3804a503,16392,16392,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-28T16:44:53+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,16,false,false,false,"Ребят, а сколько нужно опыта в резюме, чтобы получить несколько скринингов и собеседований? С двумя годами дело вообще не идет"
msg-08739,snapshot-2e5c3804a503,16404,16404,-1001213290552,-1001213290552,,8681,8681,,,2026-06-28T13:44:53+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,96,false,false,false,"Дизайнер в отдел СММ RC Books #гибрид #СанктПетербург #вакансия RC Books — издательский проект «Клуба Романтики». Подробности: • Полная занятость, гибридный рабочий график 5/2 (офис в Санкт-Петербурге) • Оформление по ТК РФ Задачи: • Создание визуального контента для ежедневных п"
msg-08815,snapshot-2e5c3804a503,16300,16300,-1001758943128,-1001758943128,,1376841105408,1376841105408,,,2026-06-28T12:08:09+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,6,false,false,false,Бакалавриат в моем случае хороший буст в резюме
msg-08882,snapshot-2e5c3804a503,16232,16232,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-28T11:57:44+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,21,false,false,false,"Добрый день. Оцените, пожалуйста, резюме. Также, может, кто-то знает, какая сейчас примерно конверсия на позицию Python Backend с опытом 3 года считается нормальной?"
msg-09020,snapshot-2e5c3804a503,16080,16080,-1001213290552,-1001213290552,,1,1,,,2026-06-28T11:18:01+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,HRBP,129,false,false,false,"Сильная команда начинается с руководителя На форуме обсудят, почему специалисты выбирают определенные компании и задерживаются в них, а из других увольняются даже при более высоких предложениях. Эксперты разберут, как руководителю перестать быть «узким горлышком» в процессах и ст"
msg-09024,snapshot-2e5c3804a503,16076,16076,-1001213290552,-1001213290552,,1,1,,,2026-06-28T11:17:02+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,99,false,false,false,"Отделяем зерна от плевел: где нам нужны нейросети, а где автоматизация? Вебинар посвящен результатам исследования применения ИИ в оценке персонала, которое проводилось с декабря 2025 по февраль 2026 года. Эксперты проанализируют опыт крупных компаний в выстраивании HR-процессов, "
msg-09025,snapshot-2e5c3804a503,16075,16075,-1001213290552,-1001213290552,,1,1,,,2026-06-28T11:17:01+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,125,false,false,false,"Как исследования и нейросети решают главные проблемы сегментации аудитории Вебинар ориентирован на владельцев бизнеса, маркетологов, бренд- и продуктовые команды. Участники узнают, почему сегментация часто не приносит результата, какие ошибки допускают компании при работе с аудит"
msg-09026,snapshot-2e5c3804a503,16074,16074,-1001213290552,-1001213290552,,1,1,,,2026-06-28T11:17:01+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,"DEPOT,KANZLER",90,false,false,false,"Summer AI Conf: ИИ-конференция по работе с визуальным контентом Конференция посвящена реальным кейсам внедрения нейросетей в дизайн, маркетинг и бизнес-процессы. Участники узнают, как оптимизировать производство контента и сократить сроки его создания с недели до одного дня, а та"
